id,customer_id,device_fingerprint,device_type,os,first_seen_at,last_seen_at,is_trusted
dev_000026,cust_008080,de0acfc185d34b78,mobile,iOS,2025-01-22 17:16:29.182437,2026-02-05 20:36:16.182437,True
dev_000027,cust_005401,ad1eefa838a84c17,mobile,macOS,2025-11-29 03:21:23.182437,2026-03-20 19:15:34.182437,True
dev_000028,cust_001389,a1268f3bbc1f47ac,desktop,iOS,2026-01-10 15:30:25.182437,2026-07-31 06:10:10.182437,True
dev_000029,cust_004932,b7f23131e43d44a1,tablet,Windows,2025-12-09 11:17:21.182437,2026-04-04 23:16:55.182437,True
dev_000030,cust_007860,b1e8b7b60a0c4463,desktop,Windows,2024-10-01 06:48:54.182437,2026-04-01 06:11:29.182437,True
dev_000031,cust_004890,cef93b8333544a4c,tablet,Windows,2026-03-08 23:05:43.182437,2026-08-24 22:07:03.182437,True
dev_000032,cust_004890,639c4cdbcf934bbf,mobile,Windows,2025-05-31 10:52:09.182437,2026-08-17 21:50:53.182437,True
dev_000033,cust_006759,f862447cf63f4a28,desktop,macOS,2025-02-02 03:34:44.182437,2025-02-18 19:30:54.182437,True
dev_000034,cust_009533,69ce32ea3c3c4e5b,desktop,macOS,2026-01-26 11:06:48.182437,2026-06-18 15:22:40.182437,True
dev_000035,cust_006327,20708764b4bf4f0c,tablet,Windows,2024-09-02 23:15:55.182437,2025-07-04 09:53:04.182437,True
dev_000036,cust_006327,63c3c05447414d00,mobile,macOS,2025-01-15 12:19:20.182437,2026-03-09 09:04:59.182437,True
dev_000037,cust_008871,730d8a81279f4881,tablet,Windows,2026-07-13 20:21:38.182437,2026-08-03 11:57:45.182437,True
dev_000038,cust_005993,e68697a5441f482c,tablet,Android,2024-12-21 02:20:45.182437,2025-12-05 18:03:45.182437,True
dev_000039,cust_003121,7e2269daf8cb4dd6,tablet,Android,2024-11-22 17:05:20.182437,2025-10-07 16:31:51.182437,True
dev_000040,cust_003121,47780e15d2c646fd,mobile,macOS,2024-09-18 00:12:55.182437,2026-05-22 18:48:44.182437,True
dev_000041,cust_002636,70b0f469a2e04ce5,mobile,iOS,2026-03-26 05:42:18.182437,2026-07-13 04:40:52.182437,True
dev_000042,cust_002636,c00c78fe616a4287,tablet,iOS,2025-08-02 11:55:37.182437,2025-11-01 19:02:01.182437,True
dev_000043,cust_002775,20da177fee454cd1,tablet,Android,2024-09-18 06:11:03.182437,2025-08-22 21:54:43.182437,True
dev_000044,cust_000241,1bb785cc044f4f39,mobile,Linux,2026-06-10 23:51:05.182437,2026-08-13 00:57:13.182437,True
dev_000045,cust_000241,64d1a33600a84857,tablet,Windows,2024-10-20 13:55:09.182437,2026-08-07 09:07:39.182437,True
dev_000046,cust_006850,2595699f624b44ad,mobile,Linux,2025-11-15 20:50:16.182437,2025-12-11 23:35:21.182437,True
dev_000047,cust_004453,eb9e952c7c5e4632,desktop,iOS,2026-01-18 11:44:07.182437,2026-02-06 12:20:50.182437,True
dev_000048,cust_008939,1dcbe04e114b4f14,mobile,Android,2026-07-07 08:09:59.182437,2026-08-24 20:18:18.182437,True
dev_000049,cust_001504,3770992c671743a6,desktop,Android,2026-02-15 22:16:24.182437,2026-05-29 08:03:00.182437,True
dev_000050,cust_004750,14c5fb63d0504402,desktop,Linux,2024-09-16 11:56:12.182437,2025-09-10 05:06:48.182437,True
dev_000051,cust_006267,8308a2ef84354467,desktop,macOS,2025-08-24 21:20:27.182437,2026-06-25 17:05:25.182437,True
dev_000052,cust_008174,3c38d08629a649cf,mobile,Windows,2024-10-06 09:42:04.182437,2026-03-11 14:30:21.182437,True
dev_000053,cust_005714,281263b7e5f84ef6,desktop,Android,2025-11-28 23:50:37.182437,2026-08-26 22:30:43.182437,True
dev_000054,cust_005035,6eb3dbd295c64d91,tablet,Android,2025-06-24 08:09:50.182437,2025-09-10 10:40:36.182437,True
dev_000055,cust_009995,537842f1c24c4eac,tablet,Windows,2024-11-18 10:58:03.182437,2025-10-15 23:08:30.182437,True
dev_000056,cust_009995,f5201248c96b42d2,tablet,Linux,2026-01-13 16:08:27.182437,2026-06-18 11:53:46.182437,True
dev_000057,cust_006015,6829345bca334dde,desktop,iOS,2025-04-23 08:47:55.182437,2026-05-09 15:02:17.182437,True
dev_000058,cust_004849,e075d49530894a11,mobile,Windows,2025-08-12 23:21:51.182437,2026-08-21 11:34:16.182437,True
dev_000059,cust_000693,d8e725858a7347db,desktop,macOS,2025-12-03 14:52:54.182437,2026-07-10 05:46:35.182437,True
dev_000060,cust_000164,dfd7e32e97da4da4,mobile,Linux,2026-02-12 11:21:23.182437,2026-04-18 10:07:59.182437,True
dev_000061,cust_000164,486347eca99741b7,mobile,Windows,2024-12-22 17:20:02.182437,2025-03-26 00:39:11.182437,True
dev_000062,cust_000176,e5f984e837d044be,desktop,macOS,2025-02-03 17:14:33.182437,2025-08-09 06:06:52.182437,True
dev_000063,cust_000176,bf2c89753fa44712,tablet,Linux,2026-06-24 05:36:10.182437,2026-08-27 14:15:41.182437,True
dev_000064,cust_009371,93c46aedd55640b4,desktop,Linux,2025-08-20 17:08:06.182437,2026-06-20 13:57:53.182437,True
dev_000065,cust_007045,176fa1ce4d254e73,tablet,Android,2026-01-31 08:02:10.182437,2026-06-16 22:10:19.182437,True
dev_000066,cust_002644,622301694cf44d64,mobile,macOS,2024-10-02 14:56:30.182437,2025-07-06 20:29:43.182437,True
dev_000067,cust_005876,d3e450e39667498e,desktop,macOS,2024-11-18 23:15:36.182437,2026-06-22 04:29:24.182437,True
dev_000068,cust_009296,6c5be35b4df4479c,tablet,Linux,2025-03-23 02:57:10.182437,2026-02-09 06:58:23.182437,True
dev_000069,cust_005753,7ea5194cad4440c8,desktop,Android,2026-01-07 01:21:56.182437,2026-05-28 01:45:35.182437,True
dev_000070,cust_001252,6035c61bbe0f47b1,mobile,Linux,2025-10-23 05:33:16.182437,2025-12-12 23:55:54.182437,True
dev_000071,cust_001386,d6cb1480892d4902,mobile,macOS,2026-03-19 09:46:23.182437,2026-08-07 13:33:04.182437,True
dev_000072,cust_001569,fcc2b38914f945e3,desktop,Linux,2025-09-18 12:14:31.182437,2026-03-11 23:47:05.182437,True
dev_000073,cust_007182,3d56057c86e84ee6,desktop,macOS,2025-04-04 21:57:36.182437,2026-07-20 13:13:37.182437,True
dev_000074,cust_000489,136d584ee3b14cc1,desktop,Linux,2025-03-02 05:01:13.182437,2026-06-29 01:40:35.182437,True
dev_000075,cust_005658,34984e6ca5484549,tablet,Windows,2026-01-28 13:50:07.182437,2026-05-27 18:18:12.182437,True
dev_000076,cust_001135,054029f930184d4f,tablet,Android,2025-02-12 15:45:53.182437,2025-11-29 06:04:30.182437,True
dev_000077,cust_001402,0173b433c5ff4929,tablet,Linux,2025-06-25 01:31:36.182437,2026-06-24 20:55:03.182437,True
dev_000078,cust_004454,fd7ab7b0b4284390,mobile,Android,2026-04-04 15:26:02.182437,2026-06-11 17:39:53.182437,True
dev_000079,cust_008942,2316dba60f424a10,mobile,iOS,2024-12-19 01:41:58.182437,2026-04-08 03:23:04.182437,True
dev_000080,cust_009043,b8460306071b4775,mobile,macOS,2025-01-31 05:15:23.182437,2025-08-16 15:22:44.182437,True
dev_000081,cust_003508,f8c8f5a35c9143f6,tablet,Linux,2025-07-25 11:28:09.182437,2025-10-29 02:00:32.182437,True
dev_000082,cust_000185,fb541f9d1fce4a42,desktop,macOS,2024-12-22 06:17:17.182437,2025-03-19 04:55:29.182437,True
dev_000083,cust_006292,eea27c12812c4210,mobile,Linux,2025-11-20 04:28:16.182437,2026-05-02 09:17:11.182437,True
dev_000084,cust_008278,291688429ca44dea,tablet,Android,2025-11-26 08:26:10.182437,2026-02-16 05:24:37.182437,True
dev_000085,cust_008278,c232868e231b4889,mobile,iOS,2025-06-11 19:21:44.182437,2025-11-24 03:52:23.182437,True
dev_000086,cust_007717,ae66670f03354728,mobile,Android,2025-12-28 20:29:32.182437,2026-08-01 10:31:15.182437,True
dev_000087,cust_009830,dfa163beb8bf4315,tablet,Android,2025-09-04 08:05:12.182437,2025-09-19 17:14:13.182437,True
dev_000088,cust_004389,eeee157691f54b80,tablet,macOS,2025-05-05 00:56:30.182437,2026-06-20 23:44:37.182437,True
dev_000089,cust_002745,a5071fdf100c47ba,tablet,macOS,2024-12-09 18:10:40.182437,2025-09-26 04:23:05.182437,True
dev_000090,cust_009715,d3a4f21534304a61,mobile,Windows,2025-02-25 01:42:10.182437,2025-11-09 12:59:25.182437,True
dev_000091,cust_009715,079f41103bc1446d,desktop,Android,2025-01-13 23:12:55.182437,2025-02-24 08:06:53.182437,True
dev_000092,cust_005456,925a7c939bed4d57,tablet,Windows,2024-12-12 04:50:16.182437,2026-08-06 14:10:32.182437,True
dev_000093,cust_004474,55b7fb07fa9a47d9,desktop,Windows,2025-10-29 01:45:01.182437,2026-05-03 12:10:56.182437,True
dev_000094,cust_001629,e79f1065f20848b6,mobile,iOS,2025-09-24 08:51:32.182437,2025-12-05 17:16:07.182437,True
dev_000095,cust_002286,b79303a3cfae4418,mobile,macOS,2025-11-05 14:00:40.182437,2026-06-23 01:30:27.182437,True
dev_000096,cust_000065,87035a1555c94b59,tablet,Linux,2026-06-23 11:09:47.182437,2026-07-12 14:07:53.182437,True
dev_000097,cust_000065,d86ceee41fb04bf3,tablet,Windows,2025-04-11 07:22:32.182437,2025-07-15 05:43:51.182437,True
dev_000098,cust_006715,e0cb7ca0bcde42bf,mobile,Linux,2025-08-14 21:12:45.182437,2026-08-27 23:23:53.182437,True
dev_000099,cust_001096,57cce2ea96ff4e9e,mobile,Android,2025-01-04 01:50:31.182437,2026-03-29 19:21:16.182437,True
dev_000100,cust_001409,1b84fb71d2974f0b,mobile,macOS,2025-02-16 10:30:49.182437,2026-07-02 06:15:14.182437,True
dev_000101,cust_001409,14d3c27646f0451a,tablet,macOS,2025-08-21 02:56:51.182437,2025-12-29 11:24:18.182437,True
dev_000102,cust_006301,ad5bdde6cd95460c,mobile,Android,2026-08-02 05:04:30.182437,2026-08-15 15:41:25.182437,True
dev_000103,cust_003832,855ee7fc658d47ce,tablet,macOS,2026-02-12 07:52:40.182437,2026-07-07 09:21:07.182437,True
dev_000104,cust_000201,4894ec4a13d64004,tablet,iOS,2026-06-09 11:41:46.182437,2026-07-10 04:38:55.182437,True
dev_000105,cust_003556,1358b1d576dd45bd,desktop,macOS,2025-05-08 16:55:46.182437,2026-05-18 11:40:41.182437,True
dev_000106,cust_007222,06331ca9af1c4aac,tablet,iOS,2026-04-27 08:40:15.182437,2026-07-25 10:16:30.182437,True
dev_000107,cust_007555,f3422bd57b7f4ee2,mobile,iOS,2025-04-19 06:52:26.182437,2025-07-25 19:05:34.182437,True
dev_000108,cust_007555,00f0ad672e4246a2,desktop,Android,2026-01-30 15:13:36.182437,2026-05-27 20:17:40.182437,True
dev_000109,cust_003911,ece94d8cef844488,desktop,Android,2026-01-08 10:29:20.182437,2026-05-24 06:19:19.182437,True
dev_000110,cust_008620,67329c0b21154a83,tablet,iOS,2025-03-09 02:29:59.182437,2025-05-01 11:20:26.182437,True
dev_000111,cust_005663,abda4d6290654906,desktop,macOS,2026-02-15 15:33:07.182437,2026-04-24 22:40:42.182437,True
dev_000112,cust_004443,dd767fcc41f3454d,tablet,Android,2024-09-22 08:23:16.182437,2026-08-22 08:19:41.182437,True
dev_000113,cust_001776,5893055cdd0442e4,mobile,iOS,2025-08-20 14:35:32.182437,2026-04-17 23:09:59.182437,True
dev_000114,cust_003761,769c6261d4ed4808,tablet,iOS,2025-03-27 18:36:58.182437,2025-08-20 20:57:51.182437,True
dev_000115,cust_004013,dd68d2dd556c47ac,tablet,Windows,2025-06-20 07:56:09.182437,2026-06-05 09:43:45.182437,True
dev_000116,cust_001516,8feb109b7292479c,desktop,macOS,2026-01-10 16:47:30.182437,2026-03-24 02:39:44.182437,True
dev_000117,cust_005769,a34e03ac3d0e432e,tablet,Windows,2026-07-14 21:02:45.182437,2026-07-24 10:39:34.182437,True
dev_000118,cust_003620,9de248a713874859,tablet,iOS,2025-01-30 16:35:12.182437,2025-12-12 18:26:08.182437,True
dev_000119,cust_006309,81f9c1a990ad447f,desktop,macOS,2025-10-18 23:02:43.182437,2025-10-20 19:26:51.182437,True
dev_000120,cust_000729,f5b9c2b471b04939,tablet,Linux,2026-05-17 06:06:41.182437,2026-07-17 12:05:26.182437,True
dev_000121,cust_006207,a729610ace7c406e,mobile,macOS,2025-05-07 19:36:35.182437,2026-07-26 14:12:27.182437,True
dev_000122,cust_005558,12784319e96e4bb7,desktop,Android,2026-04-10 07:21:02.182437,2026-07-31 18:39:48.182437,True
dev_000123,cust_002013,3cd60eea835e42d0,desktop,Windows,2026-01-10 08:40:05.182437,2026-02-20 14:06:20.182437,True
dev_000124,cust_004788,9da68f59df744275,tablet,iOS,2024-10-14 16:59:33.182437,2024-10-26 20:34:15.182437,True
dev_000125,cust_008777,dcd794d932c945df,mobile,macOS,2025-04-18 15:42:24.182437,2026-07-23 06:06:48.182437,True
dev_000126,cust_002027,1108767cdf794957,desktop,Linux,2025-08-31 21:11:25.182437,2025-11-14 19:37:39.182437,True
dev_000127,cust_007055,ab74194d108a4d3f,desktop,Linux,2025-05-26 16:29:39.182437,2025-09-20 09:25:33.182437,True
dev_000128,cust_007055,1d97f75330ae4c37,mobile,iOS,2024-11-25 21:00:31.182437,2026-01-07 07:43:47.182437,True
dev_000129,cust_002520,4ea519bc1e9f4edb,mobile,Linux,2026-05-11 21:40:00.182437,2026-08-25 20:48:04.182437,True
dev_000130,cust_006931,cac5ae90fc0540cb,tablet,Linux,2026-07-11 04:08:36.182437,2026-08-20 12:41:55.182437,True
dev_000131,cust_004427,dbc5f8371cbc4829,tablet,iOS,2025-12-16 13:37:26.182437,2026-03-09 17:26:25.182437,True
dev_000132,cust_001212,6f12fe11581944b3,tablet,Linux,2024-12-27 15:16:50.182437,2025-07-06 06:14:22.182437,True
dev_000133,cust_006197,d0c6b292b8074e0d,desktop,Windows,2025-06-11 22:09:31.182437,2025-11-22 03:24:00.182437,True
dev_000134,cust_006311,10189d7366504cf7,desktop,Linux,2025-10-13 09:21:32.182437,2026-06-16 16:10:02.182437,True
dev_000135,cust_000487,9819a9c4a4ef44bb,mobile,iOS,2024-10-28 00:08:36.182437,2025-07-07 09:39:52.182437,True
dev_000136,cust_000487,f59daca80d964ffa,desktop,iOS,2026-03-08 09:22:38.182437,2026-08-21 10:23:26.182437,True
dev_000137,cust_003804,cd5930b01eb6497a,desktop,macOS,2025-01-22 06:58:43.182437,2025-11-05 05:40:37.182437,True
dev_000138,cust_002016,66f6dc7b70fe4bfd,mobile,iOS,2025-07-02 01:10:07.182437,2026-05-18 02:04:49.182437,True
dev_000139,cust_001107,5b446f071bf745dd,tablet,Android,2025-04-08 03:07:25.182437,2026-01-31 15:53:40.182437,True
dev_000140,cust_009316,108b15706a96468a,desktop,Windows,2025-01-21 07:11:49.182437,2025-09-29 10:35:10.182437,True
dev_000141,cust_000962,4f78d98c38cc478d,desktop,Android,2025-04-06 05:15:57.182437,2025-04-08 17:47:05.182437,True
dev_000142,cust_007486,53d9dfedb5274dc8,mobile,iOS,2026-08-07 03:46:04.182437,2026-08-27 07:35:09.182437,True
dev_000143,cust_009490,83f4bd4879fd4410,desktop,Windows,2025-02-23 19:21:22.182437,2025-12-23 06:02:26.182437,True
dev_000144,cust_008283,aa664689c72940ed,tablet,Android,2025-12-25 15:30:07.182437,2026-02-19 14:28:51.182437,True
dev_000145,cust_008347,74f649c7db14459c,mobile,Linux,2026-01-26 04:51:34.182437,2026-05-16 16:30:20.182437,True
dev_000146,cust_008230,9e29249c2b744902,desktop,iOS,2024-08-31 20:10:46.182437,2026-04-06 23:09:33.182437,True
dev_000147,cust_007115,813bf7f392ad444a,mobile,Windows,2025-08-09 06:21:41.182437,2025-11-06 05:29:05.182437,True
dev_000148,cust_004655,f84be9869da040ac,desktop,macOS,2025-03-31 06:53:32.182437,2025-05-18 11:45:15.182437,True
dev_000149,cust_006682,4ee4bad731024d01,tablet,Windows,2026-08-12 01:05:38.182437,2026-08-18 08:04:54.182437,True
dev_000150,cust_006833,de8dd8d049bc4df1,tablet,iOS,2025-08-30 14:16:02.182437,2026-06-06 12:04:21.182437,True
dev_000151,cust_002524,7e3039730d4b4d04,mobile,macOS,2026-01-24 22:39:23.182437,2026-02-13 15:26:09.182437,True
dev_000152,cust_009109,75e9939c1bb046f2,mobile,Linux,2026-05-09 02:44:38.182437,2026-08-19 03:42:08.182437,True
dev_000153,cust_001509,7cddc4c56eb24100,mobile,iOS,2026-06-22 11:39:48.182437,2026-08-04 08:25:32.182437,True
dev_000154,cust_008878,c470f7c135b149c5,desktop,iOS,2025-11-20 18:37:23.182437,2026-04-21 16:42:43.182437,True
dev_000155,cust_007480,39386bbf190248d1,desktop,Android,2025-01-23 05:58:32.182437,2025-03-22 03:50:56.182437,True
dev_000156,cust_001199,223f47b0694045ea,tablet,iOS,2025-03-18 12:29:53.182437,2025-08-03 06:00:15.182437,True
dev_000157,cust_001415,3dbd3793798f41ba,mobile,Android,2024-08-29 02:43:49.182437,2025-04-12 04:34:42.182437,True
dev_000158,cust_005833,106c5b78706e42cb,mobile,macOS,2026-01-02 12:14:09.182437,2026-05-13 18:11:39.182437,True
dev_000159,cust_002373,d926677961384cb6,mobile,macOS,2025-07-04 22:51:28.182437,2026-08-08 15:36:36.182437,True
dev_000160,cust_002373,04d6f01d6fa64e2c,tablet,Windows,2024-09-30 01:49:25.182437,2025-09-03 19:44:14.182437,True
dev_000161,cust_000751,678a4cff80f8455a,tablet,iOS,2025-03-13 08:14:24.182437,2026-04-28 01:26:35.182437,True
dev_000162,cust_005774,e16a85f84b1c433c,desktop,Windows,2026-03-20 06:27:08.182437,2026-04-12 22:17:51.182437,True
dev_000163,cust_000234,9975067152cf4d9d,mobile,Android,2025-01-24 16:37:59.182437,2025-12-28 08:58:14.182437,True
dev_000164,cust_004601,40b89021d49c4562,desktop,iOS,2025-06-29 06:52:58.182437,2025-10-16 09:35:25.182437,True
dev_000165,cust_003138,1d84c5c852c14715,desktop,Linux,2025-10-05 00:23:26.182437,2026-08-11 18:05:20.182437,True
dev_000166,cust_003138,d3b45d0075424fa0,mobile,Windows,2026-08-14 03:21:57.182437,2026-08-24 14:29:47.182437,True
dev_000167,cust_007672,148e7cb2729b43f5,desktop,Linux,2026-02-20 20:36:11.182437,2026-03-15 11:52:18.182437,True
dev_000168,cust_005071,79cfffb9e3ad4217,tablet,Linux,2025-08-04 22:21:50.182437,2025-10-20 18:03:58.182437,True
dev_000169,cust_002410,049cdc7428f34c2b,desktop,macOS,2026-01-28 19:42:24.182437,2026-04-05 00:16:47.182437,True
dev_000170,cust_002410,4a450c2e87054e27,mobile,Windows,2025-11-11 05:53:23.182437,2026-01-19 05:58:44.182437,True
dev_000171,cust_009163,615af49d7bef433a,desktop,Linux,2026-03-24 18:25:41.182437,2026-04-28 09:16:47.182437,True
dev_000172,cust_000318,d56ba221179f48f6,mobile,Linux,2025-01-07 22:42:23.182437,2025-04-08 03:46:22.182437,True
dev_000173,cust_000089,218c4876db1d4f37,tablet,iOS,2026-01-10 06:58:00.182437,2026-04-30 06:01:32.182437,True
dev_000174,cust_004041,06be896caee846fc,tablet,Linux,2024-12-31 01:28:02.182437,2026-04-17 00:01:54.182437,True
dev_000175,cust_009308,a538acec592147d1,tablet,iOS,2025-03-26 17:39:06.182437,2025-11-07 03:14:40.182437,True
dev_000176,cust_009258,4202679969f141bb,desktop,iOS,2024-11-22 07:45:04.182437,2026-06-28 16:53:26.182437,True
dev_000177,cust_009944,60c5e009597c4274,mobile,Linux,2024-11-02 01:48:46.182437,2025-08-10 02:34:15.182437,True
dev_000178,cust_005782,8f16ff1bd4bf4d29,tablet,macOS,2026-02-18 07:33:10.182437,2026-08-12 07:49:27.182437,True
dev_000179,cust_004582,7e9b06c96c2e48e7,tablet,Android,2025-11-20 02:54:01.182437,2026-07-03 13:26:18.182437,True
dev_000180,cust_007076,6ad6da5f57f04b17,desktop,Android,2024-11-30 17:47:50.182437,2025-10-16 21:32:19.182437,True
dev_000181,cust_007610,370c8f342f7947a9,mobile,iOS,2025-05-05 10:27:43.182437,2025-08-07 04:35:24.182437,True
dev_000182,cust_009266,a22856f370934940,mobile,iOS,2026-06-03 13:06:18.182437,2026-06-14 00:55:56.182437,True
dev_000183,cust_000102,1afed7f7662e4962,desktop,iOS,2025-08-13 11:02:32.182437,2025-10-11 13:09:11.182437,True
dev_000184,cust_000493,8525e57049f74181,tablet,Linux,2024-10-07 20:54:28.182437,2026-02-22 02:26:41.182437,True
dev_000185,cust_004016,b02f8f888dfb457a,tablet,Windows,2025-04-20 21:28:12.182437,2026-03-25 10:06:45.182437,True
dev_000186,cust_003859,0d1bcd80174e4773,tablet,Linux,2025-12-21 23:38:53.182437,2026-07-12 03:43:49.182437,True
dev_000187,cust_003859,4312e5ce7f9c4bfb,desktop,Windows,2025-06-28 11:05:07.182437,2026-02-14 09:03:56.182437,True
dev_000188,cust_005173,560dfd0446c94bcb,mobile,Linux,2025-10-25 02:39:08.182437,2025-12-21 03:37:53.182437,True
dev_000189,cust_003417,d5d820deb04a4e27,mobile,Linux,2025-08-23 15:44:18.182437,2025-10-11 01:19:14.182437,True
dev_000190,cust_002303,b33f98bff01b4662,tablet,macOS,2025-03-08 20:07:20.182437,2026-02-26 20:22:40.182437,True
dev_000191,cust_009942,a0dba83d0977471c,tablet,Windows,2026-07-18 15:32:46.182437,2026-08-17 02:22:08.182437,True
dev_000192,cust_003303,b07417c8a1084cbf,desktop,Windows,2024-11-15 19:35:10.182437,2025-06-15 22:44:16.182437,True
dev_000193,cust_000581,5f6257f07ab94451,tablet,Linux,2026-02-18 16:31:28.182437,2026-03-14 17:15:37.182437,True
dev_000194,cust_000581,0889f471f19643f1,desktop,Android,2026-08-04 16:35:56.182437,2026-08-24 00:14:32.182437,True
dev_000195,cust_002260,2ea63e0caa404f20,tablet,iOS,2024-12-22 21:45:07.182437,2026-03-02 16:10:55.182437,True
dev_000196,cust_005446,fc0a32d2a0fa4b02,mobile,iOS,2026-01-19 05:27:43.182437,2026-02-26 10:22:24.182437,True
dev_000197,cust_002626,4348161c66074203,mobile,Linux,2025-01-23 20:55:52.182437,2025-09-25 06:20:47.182437,True
dev_000198,cust_000570,d0a6794469ee4338,mobile,Android,2026-07-15 08:23:23.182437,2026-07-20 07:37:32.182437,True
dev_000199,cust_001525,a768d4f722de4e60,desktop,Linux,2025-06-03 20:09:29.182437,2025-10-14 12:34:27.182437,True
dev_000200,cust_004049,701ccf74892b4175,mobile,Windows,2026-07-18 21:03:57.182437,2026-07-27 18:18:43.182437,True
dev_000201,cust_001155,496d4e67c6464f0e,desktop,iOS,2025-10-24 15:11:29.182437,2026-08-03 01:48:08.182437,True
dev_000202,cust_007731,04d0bf0907be4322,mobile,Windows,2024-12-04 03:34:46.182437,2025-10-06 14:15:50.182437,True
dev_000203,cust_001853,97bb9a6756dd434d,desktop,macOS,2025-01-11 00:44:19.182437,2025-03-15 11:14:09.182437,True
dev_000204,cust_005381,f716a50149a347dc,mobile,Android,2025-12-30 21:18:03.182437,2026-01-03 18:45:55.182437,True
dev_000205,cust_008855,1af832469de74f09,desktop,Android,2024-12-15 01:33:07.182437,2026-07-26 11:44:11.182437,True
dev_000206,cust_002986,32d2b45e59624bdd,desktop,Android,2026-07-14 04:03:19.182437,2026-07-25 21:42:16.182437,True
dev_000207,cust_006516,0b3b4239d9e7429a,desktop,macOS,2025-10-19 18:43:14.182437,2026-08-26 09:47:02.182437,True
dev_000208,cust_009877,8fc09c41f0b44420,desktop,macOS,2024-09-28 07:52:10.182437,2025-07-24 06:16:33.182437,True
dev_000209,cust_009877,36cd09bf71934205,desktop,Android,2024-09-20 18:44:11.182437,2026-01-14 15:12:52.182437,True
dev_000210,cust_009869,f72fb48ce71f4d66,tablet,Android,2026-08-12 08:20:19.182437,2026-08-28 04:02:49.182437,True
dev_000211,cust_001673,8acedb27684e43ec,tablet,Linux,2026-01-03 13:49:18.182437,2026-07-30 10:50:03.182437,True
dev_000212,cust_001761,2badfa6ef53444c6,tablet,macOS,2025-09-16 01:37:45.182437,2026-06-18 03:43:38.182437,True
