id,name,category,mcc,country,risk_rating,avg_ticket_size,created_at
merch_00018,Singh LLC Insurance,Insurance,6300,IN,low,2124.77,2024-09-20 12:39:26.182437
merch_00019,"Chacko, Vaidya and Om Insurance",Insurance,6300,IN,low,1267.56,2025-08-16 19:45:42.182437
merch_00020,Bhat-Kanda Groceries,Groceries,5411,IN,low,2374.32,2025-12-11 23:07:34.182437
merch_00021,Pillai-Behl Insurance,Insurance,6300,IN,low,1338.36,2025-03-30 14:10:22.182437
merch_00022,"Naik, Golla and Srivastava Restaurants",Restaurants,5812,IN,low,555.54,2024-07-07 06:43:05.182437
merch_00023,Sen-Ranganathan Entertainment,Entertainment,7832,IN,low,1322.66,2026-04-09 20:13:34.182437
merch_00024,Natt-Anand Jewelry,Jewelry,5944,IN,low,1445.8,2024-04-11 22:42:59.182437
merch_00025,Sani LLC Fashion,Fashion,5651,IN,low,1250.39,2026-04-27 00:19:01.182437
merch_00026,Narang-Walla Utilities,Utilities,4900,IN,low,334.24,2023-06-17 01:35:07.182437
merch_00027,"Sarkar, Doctor and Sane Digital Goods",Digital Goods,5815,IN,low,3628.74,2025-01-06 12:52:52.182437
merch_00028,Basak-Kibe Pharmacy,Pharmacy,5912,IN,low,5017.17,2022-12-31 13:20:48.182437
merch_00029,"Dhingra, Dhingra and Ravi Electronics",Electronics,5732,IN,low,1058.07,2025-05-15 13:00:06.182437
merch_00030,Saxena-Mohanty Entertainment,Entertainment,7832,IN,low,1146.98,2023-12-11 09:09:03.182437
merch_00031,Khanna Inc Digital Goods,Digital Goods,5815,IN,medium,1333.06,2025-06-16 08:08:49.182437
merch_00032,Minhas PLC Utilities,Utilities,4900,IN,low,1200.25,2023-03-07 10:59:45.182437
merch_00033,"Bir, Buch and Bhandari Pharmacy",Pharmacy,5912,IN,low,568.0,2025-02-12 00:33:45.182437
merch_00034,"Contractor, Dayal and Thaker Fashion",Fashion,5651,IN,low,2253.92,2023-05-19 18:55:38.182437
merch_00035,Ganesh and Sons Restaurants,Restaurants,5812,IN,low,2330.19,2025-05-22 03:57:01.182437
merch_00036,Lanka-Garde Travel,Travel,4722,IN,low,1177.12,2023-03-02 13:47:07.182437
merch_00037,Vala-Vala Fuel,Fuel,5541,IN,low,1117.24,2023-11-13 21:00:07.182437
merch_00038,"Oommen, Bains and Sarin Insurance",Insurance,6300,IN,low,1092.43,2022-11-12 03:32:04.182437
merch_00039,Murthy and Sons Groceries,Groceries,5411,IN,low,2213.85,2025-09-05 16:27:45.182437
merch_00040,Das LLC Restaurants,Restaurants,5812,IN,low,1310.32,2023-01-04 18:23:08.182437
merch_00041,Mahajan Inc Insurance,Insurance,6300,IN,low,1048.11,2024-02-01 23:10:10.182437
merch_00042,"Mohanty, Yogi and Subramanian Restaurants",Restaurants,5812,IN,low,427.79,2024-01-26 17:19:24.182437
merch_00043,Uppal-Agate Electronics,Electronics,5732,IN,low,2463.55,2024-05-29 04:07:11.182437
merch_00044,Chada LLC Digital Goods,Digital Goods,5815,IN,medium,686.16,2025-06-22 23:16:50.182437
merch_00045,Atwal Group Travel,Travel,4722,IN,low,419.27,2024-04-24 07:55:18.182437
merch_00046,Arora LLC Groceries,Groceries,5411,IN,low,1948.65,2024-05-22 06:24:35.182437
merch_00047,Batra-Natt Jewelry,Jewelry,5944,IN,low,1298.14,2024-02-15 18:11:09.182437
merch_00048,Kant-Upadhyay Fuel,Fuel,5541,IN,low,5192.39,2023-05-16 12:41:12.182437
merch_00049,"Hayre, Rao and Dass Fuel",Fuel,5541,IN,low,364.91,2023-05-29 09:22:30.182437
merch_00050,Pandya-Ravi Pharmacy,Pharmacy,5912,IN,low,794.35,2025-06-13 19:15:16.182437
merch_00051,Lata-Rajagopal Entertainment,Entertainment,7832,IN,low,1945.3,2025-10-21 16:17:52.182437
merch_00052,Merchant LLC Fashion,Fashion,5651,IN,low,1248.22,2026-06-17 15:24:13.182437
merch_00053,Ratti Group Groceries,Groceries,5411,IN,low,1463.29,2022-09-01 21:25:54.182437
merch_00054,Soni-Kothari Travel,Travel,4722,IN,low,1459.55,2025-05-09 02:04:14.182437
merch_00055,Kapoor-Rege Fuel,Fuel,5541,IN,low,235.47,2023-11-12 09:05:31.182437
merch_00056,Shukla-Thaker Entertainment,Entertainment,7832,IN,low,1532.81,2025-09-22 06:32:46.182437
merch_00057,Master-Dhar Pharmacy,Pharmacy,5912,IN,low,2158.03,2022-12-08 17:47:37.182437
merch_00058,"Parikh, Mall and Keer Insurance",Insurance,6300,IN,low,604.65,2025-09-01 22:59:31.182437
merch_00059,Sachar-Khare Entertainment,Entertainment,7832,IN,low,638.07,2025-02-21 14:00:20.182437
merch_00060,"Vaidya, Patel and Mahajan Jewelry",Jewelry,5944,IN,low,900.65,2025-04-08 22:13:57.182437
merch_00061,Sarna-Chhabra Fashion,Fashion,5651,IN,low,407.26,2024-11-15 11:29:18.182437
merch_00062,Dasgupta-Dubey Jewelry,Jewelry,5944,IN,medium,542.15,2024-03-09 06:33:48.182437
merch_00063,Buch Inc Utilities,Utilities,4900,IN,low,1353.1,2024-04-27 06:24:40.182437
merch_00064,Varty-Rai Digital Goods,Digital Goods,5815,IN,low,2971.16,2025-01-31 13:19:55.182437
merch_00065,Sundaram-Krishnan Digital Goods,Digital Goods,5815,IN,low,818.22,2022-11-28 09:51:13.182437
merch_00066,Raja-Dutta Electronics,Electronics,5732,IN,low,3845.47,2024-03-25 08:40:12.182437
merch_00067,"Sama, Pandya and Mukherjee Groceries",Groceries,5411,IN,low,806.58,2025-03-04 14:37:22.182437
merch_00068,Baria-Andra Gambling/Gaming,Gambling/Gaming,7995,IN,high,2298.92,2024-02-10 01:41:56.182437
merch_00069,Mand-Lalla Utilities,Utilities,4900,IN,low,672.19,2024-07-31 00:19:09.182437
merch_00070,Rattan-Sachar Fuel,Fuel,5541,IN,low,1695.64,2025-06-25 07:53:29.182437
merch_00071,"Kata, Korpal and Kapadia Insurance",Insurance,6300,IN,low,3506.04,2024-05-15 01:48:31.182437
merch_00072,"Tailor, Balan and Kunda Restaurants",Restaurants,5812,IN,low,1982.53,2024-03-19 17:33:39.182437
merch_00073,Bhat LLC Fuel,Fuel,5541,IN,low,1150.33,2025-12-20 19:15:37.182437
merch_00074,Randhawa-Khanna Jewelry,Jewelry,5944,IN,low,1092.73,2023-04-13 00:16:11.182437
merch_00075,"Sura, Cheema and Aggarwal Education",Education,8220,IN,low,1712.84,2023-06-11 22:53:32.182437
merch_00076,Char-Sachdeva Entertainment,Entertainment,7832,IN,low,2112.1,2025-05-17 02:15:39.182437
merch_00077,Ganesan Group Crypto/Forex,Crypto/Forex,6051,IN,medium,2283.2,2023-04-29 04:40:19.182437
merch_00078,"Choudhary, Bala and Bora Utilities",Utilities,4900,IN,low,1368.13,2024-05-18 16:11:21.182437
merch_00079,Kashyap-Kota Travel,Travel,4722,IN,low,1665.27,2025-11-23 00:49:16.182437
merch_00080,"Sur, Narula and Bhattacharyya Gambling/Gaming",Gambling/Gaming,7995,IN,medium,647.03,2024-03-21 19:26:44.182437
merch_00081,"Parikh, Pradhan and D’Alia Electronics",Electronics,5732,IN,low,1829.92,2023-10-06 02:06:54.182437
merch_00082,"Pillay, Dugal and Badal Utilities",Utilities,4900,IN,low,681.99,2026-05-18 10:00:54.182437
merch_00083,Wason LLC Electronics,Electronics,5732,IN,low,1475.67,2024-09-07 20:08:05.182437
merch_00084,Sastry-Menon Electronics,Electronics,5732,IN,low,979.46,2025-06-25 05:14:14.182437
merch_00085,"Dalal, Upadhyay and Subramanian Electronics",Electronics,5732,IN,low,3265.0,2023-01-05 16:49:39.182437
merch_00086,Sem Ltd Fashion,Fashion,5651,IN,low,1358.32,2026-04-25 04:53:14.182437
merch_00087,Bajaj-Narayan Gambling/Gaming,Gambling/Gaming,7995,IN,high,3499.88,2023-02-18 13:15:43.182437
merch_00088,Pau-Iyengar Education,Education,8220,IN,low,1259.79,2023-08-10 08:59:18.182437
merch_00089,Parmer and Sons Electronics,Electronics,5732,IN,low,3905.13,2026-02-21 02:51:00.182437
merch_00090,"Behl, De and Balan Utilities",Utilities,4900,IN,low,1891.1,2024-10-28 20:14:26.182437
merch_00091,Srivastava Group Gambling/Gaming,Gambling/Gaming,7995,IN,high,251.53,2024-06-13 17:29:37.182437
merch_00092,Trivedi Group Education,Education,8220,IN,low,996.21,2023-06-05 10:21:00.182437
merch_00093,"Srivastava, Bandi and Modi Fashion",Fashion,5651,IN,low,738.28,2022-10-31 17:08:18.182437
merch_00094,Balan PLC Pharmacy,Pharmacy,5912,IN,low,437.64,2025-08-21 20:18:29.182437
merch_00095,"Dewan, Bera and Basak Jewelry",Jewelry,5944,IN,low,704.08,2026-02-04 23:39:58.182437
merch_00096,Mani-Pathak Groceries,Groceries,5411,IN,low,840.61,2026-05-23 01:16:05.182437
merch_00097,Sehgal LLC Electronics,Electronics,5732,IN,low,276.08,2022-09-04 02:08:29.182437
merch_00098,Bail-Palla Gambling/Gaming,Gambling/Gaming,7995,IN,high,1135.17,2024-05-30 13:07:50.182437
merch_00099,Nagar-Baria Utilities,Utilities,4900,IN,low,1829.13,2024-12-17 22:39:30.182437
merch_00100,Sridhar PLC Digital Goods,Digital Goods,5815,IN,low,5278.72,2023-10-26 05:01:47.182437
merch_00101,Dey-Sood Pharmacy,Pharmacy,5912,IN,low,3054.82,2025-11-21 21:46:39.182437
merch_00102,Trivedi Inc Groceries,Groceries,5411,IN,low,1102.32,2024-09-22 12:28:34.182437
merch_00103,Chokshi LLC Travel,Travel,4722,IN,low,1331.6,2024-12-09 20:54:35.182437
merch_00104,Som-Goel Travel,Travel,4722,IN,low,1953.59,2022-09-10 17:36:37.182437
merch_00105,"Bali, Rai and Arya Entertainment",Entertainment,7832,IN,low,1167.57,2024-05-24 00:18:40.182437
merch_00106,Bandi-Muni Travel,Travel,4722,IN,low,1379.32,2023-06-24 07:00:45.182437
merch_00107,Kapadia-Hayer Jewelry,Jewelry,5944,IN,medium,703.71,2023-03-06 20:05:51.182437
merch_00108,Khatri-Zachariah Fuel,Fuel,5541,IN,low,1292.31,2026-05-12 12:58:11.182437
merch_00109,Bahri-Buch Pharmacy,Pharmacy,5912,IN,low,1427.28,2025-06-19 09:57:07.182437
merch_00110,Nazareth-Kulkarni Travel,Travel,4722,IN,low,450.29,2023-04-04 06:05:11.182437
merch_00111,"Dhaliwal, Ramanathan and Roy Restaurants",Restaurants,5812,IN,low,1917.48,2023-04-08 15:09:30.182437
merch_00112,"Verma, Atwal and Salvi Jewelry",Jewelry,5944,IN,low,1984.54,2023-05-28 14:19:07.182437
merch_00113,Char Ltd Jewelry,Jewelry,5944,IN,low,2041.69,2022-09-19 05:17:47.182437
merch_00114,Mody PLC Jewelry,Jewelry,5944,IN,low,715.93,2024-01-19 08:04:40.182437
merch_00115,Balan-Gera Education,Education,8220,IN,low,3503.37,2023-04-28 09:22:22.182437
merch_00116,Pillai LLC Jewelry,Jewelry,5944,IN,low,1002.21,2025-03-28 03:24:15.182437
merch_00117,"Sachdev, Pai and Bhalla Digital Goods",Digital Goods,5815,IN,low,489.7,2022-10-18 09:25:18.182437
merch_00118,"Nori, Munshi and Chander Electronics",Electronics,5732,IN,low,3345.04,2023-10-27 17:25:31.182437
merch_00119,Srinivasan-Warrior Groceries,Groceries,5411,IN,low,581.52,2022-10-29 08:47:04.182437
merch_00120,"Pillay, Goswami and Varty Crypto/Forex",Crypto/Forex,6051,IN,high,1633.04,2023-10-20 01:08:19.182437
merch_00121,Salvi PLC Entertainment,Entertainment,7832,IN,low,812.06,2025-03-27 02:56:29.182437
merch_00122,Nadkarni-Vora Pharmacy,Pharmacy,5912,IN,low,323.29,2023-02-25 16:24:20.182437
merch_00123,Singhal PLC Restaurants,Restaurants,5812,IN,low,565.84,2024-03-31 05:39:14.182437
merch_00124,"Kothari, Dhaliwal and Master Insurance",Insurance,6300,IN,low,3090.9,2025-12-26 04:11:52.182437
merch_00125,Vala and Sons Groceries,Groceries,5411,IN,low,1340.59,2025-08-28 05:04:08.182437
merch_00126,Kuruvilla Inc Groceries,Groceries,5411,IN,low,877.24,2023-09-16 08:02:01.182437
merch_00127,Mital-Rege Fuel,Fuel,5541,IN,low,1057.41,2025-06-30 22:19:33.182437
merch_00128,"Shan, Talwar and Venkatesh Electronics",Electronics,5732,IN,low,502.56,2026-03-04 23:21:01.182437
merch_00129,Sinha PLC Education,Education,8220,IN,low,657.0,2025-12-14 14:22:04.182437
merch_00130,Krish Ltd Fuel,Fuel,5541,IN,low,2292.14,2023-06-27 12:02:11.182437
merch_00131,Solanki-Sen Fuel,Fuel,5541,IN,low,1534.06,2025-12-23 02:07:51.182437
merch_00132,"Raghavan, Shankar and Parmar Entertainment",Entertainment,7832,IN,low,1286.83,2023-04-12 23:18:49.182437
merch_00133,Iyer PLC Travel,Travel,4722,IN,low,1128.8,2025-12-01 22:08:46.182437
merch_00134,Bansal LLC Gambling/Gaming,Gambling/Gaming,7995,IN,high,279.69,2023-03-21 15:40:35.182437
merch_00135,Sarraf Ltd Insurance,Insurance,6300,IN,low,1202.02,2026-03-04 08:24:49.182437
merch_00136,Rattan Ltd Electronics,Electronics,5732,IN,low,2293.71,2026-01-10 09:12:31.182437
merch_00137,"Kashyap, Tank and Shere Insurance",Insurance,6300,IN,low,796.77,2024-07-08 02:52:56.182437
merch_00138,Tara-Bajaj Fashion,Fashion,5651,IN,low,1216.34,2023-02-28 12:56:13.182437
merch_00139,"Chandran, Seshadri and Chana Gambling/Gaming",Gambling/Gaming,7995,IN,high,125.45,2025-06-27 15:41:43.182437
merch_00140,Kapoor-Johal Fuel,Fuel,5541,IN,low,2908.77,2024-09-27 23:28:21.182437
merch_00141,"Sarna, Mahal and Ganesan Jewelry",Jewelry,5944,IN,medium,3533.31,2025-03-16 22:56:29.182437
merch_00142,"Korpal, Kala and Kota Pharmacy",Pharmacy,5912,IN,low,3519.01,2024-08-20 02:53:24.182437
merch_00143,"Brahmbhatt, Sankar and Sandhu Jewelry",Jewelry,5944,IN,low,308.79,2023-03-16 00:28:49.182437
merch_00144,"Bansal, Venkatesh and Raj Insurance",Insurance,6300,IN,low,2426.37,2024-12-16 07:39:42.182437
merch_00145,Keer Ltd Electronics,Electronics,5732,IN,low,2520.91,2026-04-13 11:59:43.182437
merch_00146,Amble-Sachdev Groceries,Groceries,5411,IN,low,1272.08,2022-10-05 14:57:08.182437
merch_00147,"Shan, Lal and Karnik Insurance",Insurance,6300,IN,low,974.02,2023-12-08 22:51:31.182437
merch_00148,"Mishra, Parsa and Devi Groceries",Groceries,5411,IN,low,2414.53,2025-04-22 02:18:47.182437
merch_00149,Mody-Parmar Fashion,Fashion,5651,IN,low,1397.78,2026-05-07 03:58:57.182437
merch_00150,Raghavan PLC Crypto/Forex,Crypto/Forex,6051,IN,high,653.9,2023-09-10 14:27:52.182437
merch_00151,"Balasubramanian, Tak and Nayak Fashion",Fashion,5651,IN,low,2079.84,2022-12-27 16:31:13.182437
merch_00152,"Krishnan, Kashyap and Munshi Digital Goods",Digital Goods,5815,IN,low,2844.84,2025-11-20 21:50:31.182437
merch_00153,"Mani, Choudhry and Dhar Travel",Travel,4722,IN,low,2293.27,2026-01-02 18:26:11.182437
merch_00154,Ganesan-Deep Pharmacy,Pharmacy,5912,IN,low,2392.22,2024-10-30 20:30:21.182437
merch_00155,"Dhaliwal, Halder and Nayak Pharmacy",Pharmacy,5912,IN,low,496.96,2023-01-25 06:43:55.182437
merch_00156,"Din, Bhasin and Ravi Insurance",Insurance,6300,IN,low,859.48,2025-06-13 11:44:24.182437
merch_00157,Khatri PLC Fashion,Fashion,5651,IN,low,1553.74,2023-11-20 00:21:19.182437
merch_00158,Kapoor PLC Entertainment,Entertainment,7832,IN,low,3289.11,2025-01-08 23:07:59.182437
merch_00159,Pillay and Sons Utilities,Utilities,4900,IN,low,673.29,2026-01-23 07:28:02.182437
merch_00160,"Chaudry, Kakar and Hans Entertainment",Entertainment,7832,IN,low,3176.4,2023-11-19 21:35:24.182437
merch_00161,Garde-Prasad Crypto/Forex,Crypto/Forex,6051,IN,high,233.77,2023-03-17 23:43:14.182437
merch_00162,Misra-Murthy Jewelry,Jewelry,5944,IN,low,2913.89,2023-01-08 19:22:06.182437
merch_00163,"Bhatt, Tak and Kannan Gambling/Gaming",Gambling/Gaming,7995,IN,high,2739.7,2025-01-08 15:30:12.182437
merch_00164,Raghavan Inc Insurance,Insurance,6300,IN,low,4461.93,2025-04-03 17:45:41.182437
merch_00165,Mistry-Aurora Restaurants,Restaurants,5812,IN,low,2508.59,2022-10-03 19:49:23.182437
merch_00166,Ray-Devan Utilities,Utilities,4900,IN,low,1655.17,2023-08-09 15:29:34.182437
merch_00167,Balan Inc Pharmacy,Pharmacy,5912,IN,low,983.83,2024-02-15 16:39:11.182437
merch_00168,"Chaudhary, Ghose and Padmanabhan Entertainment",Entertainment,7832,IN,low,892.18,2025-01-14 12:25:37.182437
merch_00169,Baral Group Gambling/Gaming,Gambling/Gaming,7995,IN,high,1240.64,2022-10-07 11:59:03.182437
merch_00170,"Natt, Khare and Dewan Gambling/Gaming",Gambling/Gaming,7995,IN,high,930.32,2024-08-20 13:59:46.182437
merch_00171,Ganguly Ltd Jewelry,Jewelry,5944,IN,low,2079.39,2023-02-25 00:59:43.182437
merch_00172,Rege and Sons Gambling/Gaming,Gambling/Gaming,7995,IN,medium,2466.93,2023-08-09 11:58:24.182437
merch_00173,Wali-Doctor Education,Education,8220,IN,low,631.74,2025-06-21 01:11:17.182437
merch_00174,Chakraborty Ltd Digital Goods,Digital Goods,5815,IN,medium,2553.78,2025-09-19 06:14:31.182437
merch_00175,Nigam-Zachariah Entertainment,Entertainment,7832,IN,low,1738.88,2023-09-23 00:35:04.182437
merch_00176,Hari PLC Insurance,Insurance,6300,IN,low,1040.12,2023-09-05 21:20:53.182437
merch_00177,Setty-Sem Education,Education,8220,IN,low,2870.37,2025-09-22 00:18:26.182437
merch_00178,Shere Inc Utilities,Utilities,4900,IN,low,715.51,2025-03-13 00:28:49.182437
merch_00179,Srinivasan-Chaudhary Digital Goods,Digital Goods,5815,IN,low,430.46,2026-02-14 18:20:32.182437
merch_00180,Naik-Prakash Fuel,Fuel,5541,IN,low,686.26,2025-01-04 02:47:22.182437
merch_00181,Agrawal-Nigam Fuel,Fuel,5541,IN,low,859.91,2024-02-15 21:24:56.182437
merch_00182,Raju and Sons Insurance,Insurance,6300,IN,low,2793.57,2024-10-03 14:07:34.182437
merch_00183,"Behl, Joshi and Patla Pharmacy",Pharmacy,5912,IN,low,2702.06,2024-03-29 18:27:04.182437
merch_00184,Bhattacharyya Ltd Digital Goods,Digital Goods,5815,IN,low,1348.96,2025-08-17 20:49:44.182437
merch_00185,Khosla Ltd Pharmacy,Pharmacy,5912,IN,low,193.98,2022-10-01 03:48:38.182437
merch_00186,"Chowdhury, Parmar and Setty Jewelry",Jewelry,5944,IN,medium,749.38,2023-06-15 14:10:24.182437
merch_00187,"Saini, Sachdev and Kothari Digital Goods",Digital Goods,5815,IN,medium,4176.21,2022-08-30 18:57:16.182437
merch_00188,"Dani, Solanki and Ganesan Education",Education,8220,IN,low,2360.59,2024-06-10 19:29:50.182437
merch_00189,Chhabra-Acharya Digital Goods,Digital Goods,5815,IN,medium,178.39,2025-01-25 16:36:49.182437
merch_00190,Sarkar LLC Gambling/Gaming,Gambling/Gaming,7995,IN,medium,99.99,2023-12-05 17:53:02.182437
merch_00191,"Srinivas, Khurana and Kale Fuel",Fuel,5541,IN,low,2290.11,2026-06-18 07:52:47.182437
merch_00192,Luthra PLC Travel,Travel,4722,IN,low,3225.8,2024-11-14 06:36:45.182437
merch_00193,Banik LLC Digital Goods,Digital Goods,5815,IN,medium,540.26,2024-06-26 10:08:58.182437
merch_00194,Singh Ltd Electronics,Electronics,5732,IN,low,722.17,2024-04-06 19:36:04.182437
merch_00195,Manda Group Groceries,Groceries,5411,IN,low,2638.79,2025-10-03 11:52:08.182437
merch_00196,Ravel PLC Electronics,Electronics,5732,IN,low,1042.28,2024-04-24 06:50:58.182437
merch_00197,Kapur Group Fuel,Fuel,5541,IN,low,1155.78,2024-06-12 19:05:54.182437
merch_00198,Saraf and Sons Entertainment,Entertainment,7832,IN,low,1112.97,2023-09-07 12:11:41.182437
merch_00199,Gour and Sons Restaurants,Restaurants,5812,IN,low,1454.71,2024-08-01 10:58:11.182437
merch_00200,Date LLC Pharmacy,Pharmacy,5912,IN,low,1684.44,2023-10-28 10:09:39.182437
merch_00201,Chowdhury-Kohli Fuel,Fuel,5541,IN,low,4410.88,2024-07-19 13:42:44.182437
merch_00202,"Sachdeva, Pandey and Bhakta Insurance",Insurance,6300,IN,low,977.07,2022-11-04 22:01:36.182437
merch_00203,"Hans, Sarin and Raj Groceries",Groceries,5411,IN,low,1152.03,2024-05-10 16:46:28.182437
merch_00204,"Tella, Dasgupta and Brar Fuel",Fuel,5541,IN,low,493.85,2023-04-10 07:17:20.182437
merch_00205,Cherian-Shukla Entertainment,Entertainment,7832,IN,low,1443.19,2024-06-03 11:14:54.182437
merch_00206,"Merchant, Tandon and Krish Groceries",Groceries,5411,IN,low,2776.44,2023-08-10 16:00:47.182437
merch_00207,Krishnan-Sachdev Utilities,Utilities,4900,IN,low,715.2,2025-06-26 01:34:04.182437
merch_00208,Bali-Tata Jewelry,Jewelry,5944,IN,low,628.13,2025-02-27 19:00:08.182437
merch_00209,Manne Ltd Insurance,Insurance,6300,IN,low,2609.4,2025-01-03 00:13:27.182437
merch_00210,Aurora Group Electronics,Electronics,5732,IN,low,1677.83,2023-04-04 06:19:33.182437
merch_00211,Sethi LLC Fuel,Fuel,5541,IN,low,632.9,2023-08-06 10:39:07.182437
merch_00212,Deshmukh Ltd Gambling/Gaming,Gambling/Gaming,7995,IN,medium,1500.67,2023-11-08 06:33:38.182437
merch_00213,Mangal-Bansal Restaurants,Restaurants,5812,IN,low,582.07,2024-09-11 17:19:47.182437
merch_00214,Bahri PLC Crypto/Forex,Crypto/Forex,6051,IN,medium,1012.45,2025-04-09 05:38:50.182437
merch_00215,"Arya, Padmanabhan and Som Travel",Travel,4722,IN,low,1088.94,2025-05-20 04:41:05.182437
merch_00216,"Bali, Jaggi and Singh Digital Goods",Digital Goods,5815,IN,medium,2582.87,2023-12-02 05:00:56.182437
merch_00217,Bail-Rau Fashion,Fashion,5651,IN,low,1992.18,2023-12-10 19:18:04.182437
merch_00218,Char-Manne Entertainment,Entertainment,7832,IN,low,2690.07,2025-12-13 22:17:12.182437
merch_00219,Dhaliwal PLC Education,Education,8220,IN,low,998.27,2024-10-12 18:28:51.182437
merch_00220,Mohan PLC Education,Education,8220,IN,low,1858.66,2023-06-05 22:11:03.182437
merch_00221,"Thaman, Kohli and Choudhry Fuel",Fuel,5541,IN,low,267.17,2026-01-27 17:20:49.182437
merch_00222,"Dhillon, Saraf and Saini Insurance",Insurance,6300,IN,low,612.2,2026-02-10 12:35:35.182437
merch_00223,"Sagar, Lata and Johal Electronics",Electronics,5732,IN,low,423.44,2024-12-02 10:08:38.182437
merch_00224,Oommen-Chanda Fashion,Fashion,5651,IN,low,2322.07,2025-07-13 19:42:29.182437
merch_00225,"Mody, Sangha and Sibal Travel",Travel,4722,IN,low,3914.76,2023-09-07 04:34:20.182437
merch_00226,Thaman-Bumb Crypto/Forex,Crypto/Forex,6051,IN,medium,1128.27,2023-09-22 22:45:59.182437
merch_00227,Pal and Sons Travel,Travel,4722,IN,low,1961.08,2023-07-26 00:14:47.182437
merch_00228,Padmanabhan-Sule Fashion,Fashion,5651,IN,low,1926.54,2024-11-02 13:34:15.182437
merch_00229,Shukla-Kohli Electronics,Electronics,5732,IN,low,3667.99,2025-12-02 22:20:19.182437
merch_00230,Rai Inc Electronics,Electronics,5732,IN,low,1011.45,2023-10-29 06:13:41.182437
merch_00231,"Pandey, Shan and Badal Groceries",Groceries,5411,IN,low,1412.7,2024-08-04 14:21:32.182437
merch_00232,"Buch, Kurian and Pal Crypto/Forex",Crypto/Forex,6051,IN,medium,631.07,2023-02-17 14:07:19.182437
merch_00233,Dar-Toor Crypto/Forex,Crypto/Forex,6051,IN,medium,461.09,2023-09-16 20:10:51.182437
merch_00234,"Gour, Ghose and Bhakta Education",Education,8220,IN,low,2142.82,2024-05-09 12:42:13.182437
merch_00235,Kalita PLC Digital Goods,Digital Goods,5815,IN,low,747.34,2024-12-07 04:43:46.182437
merch_00236,Rao-Brahmbhatt Fuel,Fuel,5541,IN,low,782.23,2024-01-01 14:25:34.182437
merch_00237,Nayak Group Entertainment,Entertainment,7832,IN,low,1822.74,2023-11-10 12:05:19.182437
merch_00238,Pathak-Oza Education,Education,8220,IN,low,1075.12,2025-02-23 11:06:08.182437
merch_00239,Kara LLC Insurance,Insurance,6300,IN,low,2175.0,2022-10-13 11:46:31.182437
merch_00240,Doshi and Sons Utilities,Utilities,4900,IN,low,2204.77,2023-05-27 05:48:21.182437
merch_00241,Vyas-Atwal Education,Education,8220,IN,low,1511.77,2024-10-12 21:51:05.182437
merch_00242,Dasgupta-Pall Digital Goods,Digital Goods,5815,IN,medium,1387.49,2022-09-21 23:29:10.182437
merch_00243,Ravel-Gole Travel,Travel,4722,IN,low,3864.0,2023-11-03 22:04:37.182437
merch_00244,"Babu, Mitter and Dutta Travel",Travel,4722,IN,low,1195.29,2024-03-24 20:40:46.182437
merch_00245,Sami-Kapoor Entertainment,Entertainment,7832,IN,low,2270.42,2022-12-03 04:40:38.182437
merch_00246,Sama-Mannan Restaurants,Restaurants,5812,IN,low,582.88,2025-11-26 20:48:25.182437
